ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,clade,direction
GO:0009201,ribonucleoside triphosphate biosynthetic process,24,-0.9112021255734145,-2.0052698049451854,3.4882418352370994e-7,5.1689401740331566e-5,4.8034258381877385e-5,306,"tags=62%, list=6%, signal=59%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C/YKL067W,1. Wine/European,Downregulated
GO:0033108,mitochondrial respiratory chain complex assembly,59,-0.7757582400811182,-1.9449772431748238,9.959585479412374e-7,1.3528436942868475e-4,1.2571792548135446e-4,859,"tags=66%, list=16%, signal=56%",YNR020C/YBR044C/YLR203C/YDR493W/YOL071W/YMR098C/YBR037C/YPR140W/YJL062W-A/YLL018C-A/YNL315C/YKL137W/YDR375C/YGR174C/YMR257C/YLR218C/YGL191W/YLL009C/YER058W/YNL005C/YDR529C/YPL189C-A/YLR295C/YER154W/YBR120C/YPL215W/YGR112W/YML081C-A/YGR183C/YLR038C/YDR079W/YGR062C/YDR322W/YML030W/YJR034W/YMR244C-A/YNR018W/YML129C/YJL180C,1. Wine/European,Downregulated
GO:0006119,oxidative phosphorylation,31,-0.8575845936295392,-1.961787579542891,1.901963922908719e-6,2.38477014949324e-4,2.216134481834532e-4,552,"tags=84%, list=10%, signal=76%",YEL024W/YGL187C/YMR256C/YEL039C/YNL169C/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YJR121W/YPR191W/YML120C/YDR529C/YJL166W/YPL271W/YFR033C/YDR178W/YDL067C/YGL226W/YNL052W/YGR183C/YLR038C/YDR298C/YHR001W-A/YHR051W,1. Wine/European,Downregulated
GO:0006754,ATP biosynthetic process,16,-0.9396159878918776,-1.9038559894389804,3.308402549323458e-6,3.5951307702648247e-4,3.3409061533168117e-4,306,"tags=88%, list=6%, signal=83%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C,1. Wine/European,Downregulated
GO:0015986,proton motive force-driven ATP synthesis,16,-0.9396159878918776,-1.9038559894389804,3.308402549323458e-6,3.5951307702648247e-4,3.3409061533168117e-4,306,"tags=88%, list=6%, signal=83%",YOL077W-A/YPR020W/YBL099W/YDR322C-A/YJR121W/YDR377W/YPL271W/YLR295C/YML081C-A/YKL016C/YDR298C/YDL004W/YBR039W/YPL078C,1. Wine/European,Downregulated
GO:0017004,cytochrome complex assembly,41,-0.8173896742044957,-1.9474520879782775,4.975937474664676e-6,5.069236302314639e-4,4.710772385554256e-4,824,"tags=76%, list=16%, signal=64%",YAL039C/YLR203C/YDR493W/YBR037C/YKL087C/YJL062W-A/YLL018C-A/YKL137W/YDR375C/YGR174C/YMR257C/YOR037W/YLR218C/YLL009C/YER058W/YNL005C/YDR529C/YPL189C-A/YBR120C/YPL215W/YGR112W/YGR183C/YLR038C/YDR079W/YGR062C/YDR322W/YML030W/YJR034W/YMR244C-A/YNR018W/YML129C,1. Wine/European,Downregulated
GO:0022904,respiratory electron transport chain,30,-0.84586420279496,-1.935514987940888,6.1888165638379265e-6,5.93398294062107e-4,5.514369681339182e-4,566,"tags=80%, list=11%, signal=72%",YLL041C/YEL024W/YGL187C/YMR256C/YEL039C/YNL169C/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YPR191W/YML120C/YDR529C/YOR356W/YJL166W/YFR033C/YDR178W/YDL067C/YGL226W/YNL052W/YGR183C/YHR001W-A/YHR051W,1. Wine/European,Downregulated
GO:0022900,electron transport chain,31,-0.8349824621501778,-1.910083548084321,1.4655383616555794e-5,0.0011944137647492972,0.001109952474959147,793,"tags=87%, list=15%, signal=75%",YOL071W/YPR140W/YPL252C/YLL041C/YEL024W/YGL187C/YMR256C/YEL039C/YNL169C/YKL141W/YOR065W/YGL191W/YLR395C/YJR048W/YPR191W/YML120C/YDR529C/YOR356W/YJL166W/YFR033C/YDR178W/YDL067C/YGL226W/YNL052W/YGR183C/YHR001W-A/YHR051W,1. Wine/European,Downregulated
GO:0070585,protein localization to mitochondrion,74,-0.6959632020479091,-1.7899293354232675,1.4324555777657846e-5,0.0011944137647492972,0.001109952474959147,856,"tags=46%, list=16%, signal=39%",YLR163C/YBR044C/YER017C/YOR027W/YOL027C/YPL240C/YHR083W/YLR008C/YMR150C/YEL020W-A/YGR082W/YIR004W/YDR375C/YNR040W/YMR203W/YIL022W/YKL141W/YPR125W/YGR028W/YAL005C/YGR033C/YNL121C/YJL104W/YOR232W/YBR091C/YKL195W/YPR133W-A/YER154W/YBL045C/YBR230C/YBR185C/YGR062C/YJR045C/YKR016W,1. Wine/European,Downregulated
GO:0072655,establishment of protein localization to mitochondrion,74,-0.6959632020479091,-1.7899293354232675,1.4324555777657846e-5,0.0011944137647492972,0.001109952474959147,856,"tags=46%, list=16%, signal=39%",YLR163C/YBR044C/YER017C/YOR027W/YOL027C/YPL240C/YHR083W/YLR008C/YMR150C/YEL020W-A/YGR082W/YIR004W/YDR375C/YNR040W/YMR203W/YIL022W/YKL141W/YPR125W/YGR028W/YAL005C/YGR033C/YNL121C/YJL104W/YOR232W/YBR091C/YKL195W/YPR133W-A/YER154W/YBL045C/YBR230C/YBR185C/YGR062C/YJR045C/YKR016W,1. Wine/European,Downregulated
