strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AKH,CGS,0.10833858879051486,13. African palm wine,1. Wine/European,Different clade
AKH,CLB,0.08265469182263147,13. African palm wine,4. Mediterranean oak,Different clade
AKH,CLI,0.09549655294249347,13. African palm wine,25. Sake,Different clade
AKH,CLN,0.05367872495571522,13. African palm wine,25. Sake,Different clade
AKH,CLP,0.08815642472199205,13. African palm wine,25. Sake,Different clade
AKH,CMI,0.06043465152280552,13. African palm wine,25. Sake,Different clade
AKH,CPI,0.07019135209602037,13. African palm wine,9. Mexican agave,Different clade
AKH,CPK,0.11049238047169291,13. African palm wine,9. Mexican agave,Different clade
AKH,CPN,0.08722564138424108,13. African palm wine,9. Mexican agave,Different clade
AKH,CQD,0.12913300778704054,13. African palm wine,12. West African cocoa,Different clade
AKH,CQF,0.10825877921459477,13. African palm wine,12. West African cocoa,Different clade
AKH,SACE_YCE,0.032351406858365114,13. African palm wine,M3. Mosaic region 3,Different clade
AKH,SACE_YCK,0.01467791551389412,13. African palm wine,26. Asian fermentation,Different clade
AKH,SACE_YCM,0.004923733982396006,13. African palm wine,24. Asian islands,Different clade
AKH,SACE_YCR,0.09087648252958841,13. African palm wine,18. Far East Asia,Different clade
AKH,SACE_YCU,0.06480735233850489,13. African palm wine,23. North American oak,Different clade
AKI,AFE,-0.003159708909394069,M3. Mosaic region 3,8. Mixed origin,Different clade
AKI,AKH,0.0410692272281235,M3. Mosaic region 3,13. African palm wine,Different clade
AKI,AKM,0.07276306818553245,M3. Mosaic region 3,19. Malaysian,Different clade
AKI,AMP,0.052431390830708656,M3. Mosaic region 3,M1. Mosaic region 1,Different clade
AKI,ANG,0.07100990900600292,M3. Mosaic region 3,23. North American oak,Different clade
AKI,ANN,0.09704151732286428,M3. Mosaic region 3,12. West African cocoa,Different clade
AKI,ATS,0.04711534434088926,M3. Mosaic region 3,8. Mixed origin,Different clade
AKI,BAF,0.08316949790642945,M3. Mosaic region 3,13. African palm wine,Different clade
AKI,BAG,0.0409428805926,M3. Mosaic region 3,15. CHNII,Different clade
AKI,BAI,0.08633696027802205,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,BAK,0.060711074615247995,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,BAL,0.035177887192439625,M3. Mosaic region 3,16. CHNI,Different clade
AKI,BAM,0.03307909702347695,M3. Mosaic region 3,14. CHNIII,Different clade
AKI,BAN,0.032327051883520766,M3. Mosaic region 3,20. CHN V,Different clade
AKI,BAP,0.050894137582841274,M3. Mosaic region 3,20. CHN V,Different clade
AKI,BBQ,0.08389706520243799,M3. Mosaic region 3,4. Mediterranean oak,Different clade
