ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0035383,thioester metabolic process,5/136,25/4986,0.2,7.332352941176471,5.3147356721916825,4.8003784706162304e-4,0.003946977853617789,0.0033546504516879503,YGR244C/YML126C/YMR208W/YMR220W/YNR043W,5,Downregulated,8. Mixed origin
GO:0006084,acetyl-CoA metabolic process,4/136,15/4986,0.26666666666666666,9.776470588235293,5.69999947831858,5.721570693874385e-4,0.004639958699689912,0.003943634883449108,YML126C/YMR208W/YMR220W/YNR043W,4,Downregulated,8. Mixed origin
GO:0003333,amino acid transmembrane transport,6/136,40/4986,0.15,5.499264705882353,4.783829038206648,6.596317064431347e-4,0.005277053651545078,0.004485120279940517,YDR046C/YDR508C/YOL020W/YGR055W/YPL134C/YBR068C,6,Downregulated,8. Mixed origin
GO:1901135,carbohydrate derivative metabolic process,18/136,287/4986,0.0627177700348432,2.2993441278950604,3.7965889564906394,7.031956269982243e-4,0.005550557482439317,0.0047175790835810695,YDL004W/YDR072C/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YOR120W/YLR345W/YPL271W/YPL057C/YPR020W/YML081C-A/YBL099W/YBR039W/YJR121W/YKL016C/YFR053C,18,Downregulated,8. Mixed origin
GO:0033108,mitochondrial respiratory chain complex assembly,7/136,58/4986,0.1206896551724138,4.424695740365112,4.392702659364916,9.06170376530325e-4,0.007058590301394111,0.005999299722735393,YDR529C/YGL191W/YGR183C/YLR038C/YML081C-A/YML030W/YBR269C,7,Downregulated,8. Mixed origin
GO:0006790,sulfur compound metabolic process,10/136,115/4986,0.08695652173913043,3.1879795396419435,3.974790819615355,0.0010651762983263492,0.008189407384535049,0.006960413815447641,YDR513W/YGR244C/YML126C/YML075C/YMR009W/YMR208W/YMR220W/YNR043W/YJR148W/YER163C,10,Downregulated,8. Mixed origin
GO:0098739,import across plasma membrane,4/136,18/4986,0.2222222222222222,8.147058823529411,5.0863235356637615,0.0012035086620324066,0.009134322152861342,0.007763524162638198,YDR508C/YGR055W/YKR093W/YFR053C,4,Downregulated,8. Mixed origin
GO:1901137,carbohydrate derivative biosynthetic process,14/136,206/4986,0.06796116504854369,2.491576242147344,3.660970972214255,0.0013273729481149197,0.009946896016253575,0.008454154153216945,YDL004W/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YPL271W/YPL057C/YPR020W/YML081C-A/YBL099W/YBR039W/YJR121W/YKL016C,14,Downregulated,8. Mixed origin
GO:0006865,amino acid transport,6/136,47/4986,0.1276595744680851,4.680225281602002,4.244582571705124,0.001578192916087775,0.011678627579049536,0.009926002814341533,YDR046C/YDR508C/YOL020W/YGR055W/YPL134C/YBR068C,6,Downregulated,8. Mixed origin
GO:0006116,NADH oxidation,3/136,12/4986,0.25,9.165441176470589,4.741858096672033,0.003645496001732691,0.02664362509908337,0.0226451863395481,YPL134C/YML120C/YMR145C,3,Downregulated,8. Mixed origin
GO:0046835,carbohydrate phosphorylation,3/136,13/4986,0.23076923076923078,8.460407239819006,4.509788217505036,0.004645327384985126,0.03313293749290595,0.028160640330030316,YGR194C/YLR345W/YFR053C,3,Downregulated,8. Mixed origin
GO:1901679,nucleotide transmembrane transport,3/136,13/4986,0.23076923076923078,8.460407239819006,4.509788217505036,0.004645327384985126,0.03313293749290595,0.028160640330030316,YPL221W/YPL134C/YBL030C,3,Downregulated,8. Mixed origin
GO:0015711,organic anion transport,8/136,100/4986,0.08,2.9329411764705884,3.269437748394394,0.005625662849133839,0.03964752865103848,0.033697579472255323,YDR508C/YOL020W/YGR055W/YGR243W/YPL221W/YPL134C/YBL030C/YBR068C,8,Downregulated,8. Mixed origin
GO:0046942,carboxylic acid transport,6/136,61/4986,0.09836065573770492,3.6060752169720343,3.4290981228795863,0.005977938012198664,0.041634580037901284,0.03538643182453203,YDR508C/YOL020W/YGR055W/YGR243W/YPL134C/YBR068C,6,Downregulated,8. Mixed origin
GO:0015849,organic acid transport,6/136,62/4986,0.0967741935483871,3.5479127134724857,3.3802789011193544,0.006473376180326071,0.044560915101779466,0.03787360849688937,YDR508C/YOL020W/YGR055W/YGR243W/YPL134C/YBR068C,6,Downregulated,8. Mixed origin
