Bin,MeanR2,Q25,Q75,FracGE,N,type
10850,0.222109969629955,0.07069465,0.329427,0.0532182490752158,20275,SNPs
10950,0.221241391219536,0.071035275,0.3288405,0.0514684070008899,20226,SNPs
11050,0.221266386032286,0.0712069,0.327969,0.0517456670495979,20021,SNPs
11150,0.222096124475009,0.07127925,0.327441,0.0525417774878306,19927,SNPs
11250,0.220622472789471,0.0717518,0.325906,0.0487424547283702,19880,SNPs
11350,0.221325413253253,0.0713403,0.326642,0.0523414609922034,20137,SNPs
11450,0.219551024365643,0.071238625,0.321836,0.0510512020923448,19882,SNPs
11550,0.219667462218724,0.069537,0.325161,0.0494694365565685,20073,SNPs
11650,0.221384124000552,0.0691796,0.328216,0.053511369911149,19921,SNPs
11750,0.218753338753213,0.071196825,0.32305225,0.0501907247540655,19924,SNPs
11850,0.218435269986823,0.068527375,0.3243665,0.0494116473873155,20056,SNPs
11950,0.220368724753045,0.0698215,0.327156,0.0533340048348106,19856,SNPs
12050,0.219139859140543,0.0706512,0.321959,0.0497753546367813,19809,SNPs
12150,0.219880793165417,0.069524925,0.32602775,0.0493655828707375,20176,SNPs
12250,0.217216328954625,0.067050825,0.31914475,0.0514727759595359,20166,SNPs
12350,0.218477303589023,0.069593,0.322624,0.050017332739068,20193,SNPs
12450,0.21676408756088,0.0674513,0.31988175,0.047555423594616,20208,SNPs
12550,0.215418732888262,0.068592,0.31821,0.0457282181420113,20097,SNPs
12650,0.214607394092542,0.06816115,0.31615575,0.0481296758104738,20050,SNPs
12750,0.21769938535642,0.069022,0.3218435,0.0494979565063828,19819,SNPs
12850,0.215333539064334,0.0697127,0.31559925,0.050141385578671,19804,SNPs
12950,0.217511425409428,0.07074035,0.320159,0.0484717038232624,19826,SNPs
13050,0.217333942328055,0.071773,0.322097,0.0459036327709378,19737,SNPs
13150,0.214627267486529,0.068351875,0.3175095,0.04874749498998,19960,SNPs
13250,0.215943883751148,0.06870895,0.3191665,0.0490176322418136,19850,SNPs
13350,0.21428624334119,0.06788055,0.31610025,0.0449329813160032,19696,SNPs
13450,0.213138791366852,0.068179025,0.31260825,0.0450065372623957,19886,SNPs
13550,0.214056965262209,0.06843655,0.3172855,0.0448378473798356,19827,SNPs
13650,0.210944766986841,0.0671763,0.31111925,0.044005994005994,20020,SNPs
13750,0.21315509095533,0.067166925,0.31394575,0.0449919387343813,19848,SNPs
13850,0.212478667336582,0.067850975,0.3131045,0.0453660036907935,19508,SNPs
13950,0.212175277368042,0.067077175,0.31362975,0.0447174942088831,19858,SNPs
14050,0.213642397239046,0.06657965,0.313648,0.0481841064365336,19467,SNPs
14150,0.21451243250585,0.068341,0.31465775,0.0486851457000711,19698,SNPs
14250,0.213309590213897,0.068005625,0.31287275,0.047901821060966,20208,SNPs
14350,0.215018704108651,0.0671783,0.3146235,0.0486097118678219,19852,SNPs
14450,0.21383563584767,0.067043,0.314339,0.0479988184906218,20313,SNPs
14550,0.214342940572572,0.06737005,0.315469,0.0475048703731455,20019,SNPs
14650,0.211623326421781,0.066171775,0.31181675,0.0443617342319686,19882,SNPs
14750,0.213783741836344,0.0669971,0.3155195,0.045933206298265,19942,SNPs
14850,0.210537176294784,0.065497575,0.311468,0.0454681573168297,20036,SNPs
14950,0.213765131846764,0.0687574,0.312196,0.0467229072031149,20033,SNPs
15050,0.211744373340493,0.0653264,0.312731,0.0454274945447332,20164,SNPs
15150,0.213670771580854,0.06672535,0.31462225,0.0453594901414061,20084,SNPs
15250,0.210797807577008,0.06455,0.312731,0.0421737202542248,20297,SNPs
15350,0.212236699086689,0.066057325,0.31307975,0.0452098494666534,20062,SNPs
15450,0.209194294704857,0.065921975,0.3082285,0.0429350520575112,20170,SNPs
15550,0.209483850329752,0.0636504,0.307362,0.0427815570672714,19845,SNPs
15650,0.209771736251608,0.0658817,0.307241,0.0443958881660625,20137,SNPs
15750,0.209856320691123,0.06822635,0.3081975,0.0424399223841982,20099,SNPs
15850,0.206955941471547,0.0639432,0.303629,0.0410782419107081,20181,SNPs
15950,0.207684811755017,0.0660688,0.3054255,0.0398813116073225,19884,SNPs
16050,0.207083074033466,0.065753025,0.30621375,0.0394988427090671,19874,SNPs
16150,0.206085736280404,0.0635626,0.30321325,0.0419209604802401,19990,SNPs
16250,0.208663663052342,0.06469475,0.307726,0.0424436334549818,20003,SNPs
16350,0.207841725172893,0.0639436,0.309005,0.0419688859986994,19991,SNPs
16450,0.208297573123361,0.0652952,0.308164,0.042460024600246,20325,SNPs
16550,0.206848139429311,0.0655297,0.3047415,0.0403406544150605,20079,SNPs
16650,0.203841614675082,0.06411855,0.3003785,0.0390632735914447,20198,SNPs
16750,0.205643808570504,0.0646437,0.30484,0.0401928444557219,19705,SNPs
16850,0.205571687952537,0.0632255,0.304299,0.0391750492847394,19783,SNPs
16950,0.208161094157544,0.06414855,0.309615,0.0396059611012882,19795,SNPs
17050,0.204113927517836,0.061943425,0.300753,0.0404521118381915,20172,SNPs
17150,0.204706934001915,0.06290005,0.305136,0.0387674453504077,19991,SNPs
17250,0.207385069570284,0.0654852,0.30684025,0.0381111448527179,19758,SNPs
17350,0.206052579911722,0.0643151,0.307423,0.0378665318503539,19780,SNPs
17450,0.20478671854529,0.06365395,0.304677,0.0375522959826604,19839,SNPs
17550,0.204746478824714,0.0632658,0.302159,0.0383883883883884,19980,SNPs
17650,0.202067189095297,0.0623624,0.30108525,0.0353864980624108,19612,SNPs
17750,0.204215537923871,0.064343575,0.30116675,0.038508248153021,19762,SNPs
17850,0.204735716947746,0.0648867,0.300158,0.0376341377399365,19849,SNPs
17950,0.201331919993266,0.063932,0.295783,0.0336400663750189,19887,SNPs
18050,0.202347754163069,0.06217735,0.2996585,0.0383519175958798,19999,SNPs
18150,0.203910746493995,0.0632714,0.301501,0.0378943158526221,20003,SNPs
18250,0.205512897942392,0.06261655,0.30591125,0.0371482927806148,19974,SNPs
18350,0.202886030379395,0.062360925,0.2983135,0.0384193194291987,20042,SNPs
18450,0.204196837973693,0.0629601,0.300745,0.0399453911108864,19777,SNPs
18550,0.203938770398448,0.064898,0.297417,0.0374590370557096,19835,SNPs
18650,0.20263607111007,0.06211145,0.29884625,0.0370069133794225,19672,SNPs
18750,0.201806627573447,0.06242765,0.2962065,0.0371985762270016,19947,SNPs
18850,0.203925657723313,0.06275235,0.3041685,0.0367403451515601,20223,SNPs
18950,0.199314879676068,0.061144725,0.29500425,0.0340565085771948,19820,SNPs
19050,0.203801131643206,0.0642398,0.299524,0.0367953415993173,19921,SNPs
19150,0.202872687018728,0.066099325,0.29890275,0.0363490310272116,19918,SNPs
19250,0.202487882737058,0.06382985,0.29981325,0.0358976940892156,19862,SNPs
19350,0.200608787260654,0.0621642,0.294895,0.0359715854703008,19849,SNPs
19450,0.201117770758845,0.061512725,0.2947825,0.037903064290006,19972,SNPs
19550,0.199818804219337,0.0627002,0.29479,0.0351662725763445,19877,SNPs
19650,0.198311891048851,0.0614913,0.294562,0.0324291559327171,19797,SNPs
19750,0.201148462181942,0.061457,0.295495,0.0373686063471307,19883,SNPs
19850,0.200533213880252,0.0616726,0.294143,0.0365296803652968,19929,SNPs
19950,0.199969586449057,0.0613768,0.294267,0.0361076188081468,19885,SNPs
20050,0.214311583040187,0.0670511,0.31542725,0.0373831775700935,214,SNPs
