"gene","correlation","cor_category","mean_expr_bulk","mean_expr_sc","log_mean_expr"
"YOL165C",0.329336732420511,"low (<0.4)",12.4875371983907,1.08079039431449,3.75355503353373
"YOL161C",0.0873052990731293,"low (<0.4)",12.0007174604183,1.06409160975679,3.70051933722002
"YOL157C",-0.00673037157891836,"low (<0.4)",5.62957528889035,1.2575395573731,2.72891644978916
"YOR069W",-0.0145284452425959,"low (<0.4)",41.1873957003273,21.6442767793022,5.39874012517537
"YOR104W",0.254545434000301,"low (<0.4)",22.6021837013093,11.8672579458173,4.56084844046199
"YOR133W",0.120916422754887,"low (<0.4)",672.984634047506,390.250328190668,9.39657189003028
"YOR192C-C",0.290565549528575,"low (<0.4)",13.8564062103162,0.299532396748369,3.89301326260753
"YOR390W",-0.0344236810329455,"low (<0.4)",13.6406467403617,1.26997600153802,3.8719073799645
"YOR391C",0.00366293256567523,"low (<0.4)",18.1388709445229,0.0219896798402326,4.25843381860979
"YPL278C",0.488933864539655,"moderate (0.4-0.7)",66.9426541132048,0.755304436883334,6.08624567167333
"YPL277C",0.352725187839192,"low (<0.4)",41.8779056779598,0.29147394417617,5.42216253562217
"YPL220W",0.249565722114965,"low (<0.4)",1351.17171420353,358.139011023048,10.4010626578054
"YPR156C",-0.0129086256328774,"low (<0.4)",116.357221898598,31.7992098450396,6.8747628145647
"YPR202W",0.510008595084673,"moderate (0.4-0.7)",5.22263995792044,0.0883239549830575,2.63752677427453
"YFL059W",0.850643043278093,"high (>=0.7)",44.1622273577837,13.0715566551375,5.4970447350901
"YFL061W",0.0400785820079252,"low (<0.4)",8.6137502261335,0.0336557479695221,3.26509932144964
"YHR215W",0.147173872061041,"low (<0.4)",8.85055223858625,0.755244628056351,3.3002046067555
"YOL156W",0.0304929225919858,"low (<0.4)",4.59746219236948,0.268361632209536,2.4847728785374
"YNL334C",0.373740276787663,"low (<0.4)",21.1396614437498,0.147578325362107,4.46856125570793
"YAL035W",0.0309987314935244,"low (<0.4)",274.875329493708,151.171501364132,8.10787263737397
"YAL036C",0.154406678243295,"low (<0.4)",120.101995627813,111.323335109087,6.9200788290318
"YAL037W",0.104638192723983,"low (<0.4)",10.6849940006433,1.80148619936261,3.54658508829399
"YAL039C",0.135741147781953,"low (<0.4)",110.578979120138,16.2454159707505,6.80192144655071
"YAL047C",-0.0930319800264422,"low (<0.4)",15.8393728209477,3.87235287684026,4.07376650140578
"YAL048C",-0.103267075838467,"low (<0.4)",17.2154687596582,1.08430539914192,4.18709221698055
"YAL061W",0.089970643161609,"low (<0.4)",101.363616209009,14.3245057345305,6.67755920938715
"YAR027W",0.712348770346528,"high (>=0.7)",62.2394348058086,25.7021146252207,5.98275256874271
"YAR028W",0.513670935587859,"moderate (0.4-0.7)",21.7016124085277,3.4906859828331,4.50472286514249
"YAR042W",0.299354986960689,"low (<0.4)",39.8620799749578,13.2995914267789,5.35269073736238
"YBL032W",0.274396147662006,"low (<0.4)",97.921718478673,26.3945099737006,6.62821539748546
"YBR007C",0.409037017503718,"moderate (0.4-0.7)",22.6035326935961,10.1332524781568,4.56093089591999
"YBR008C",0.0921234498021011,"low (<0.4)",26.6634429041687,7.79718506257482,4.78990881578883
"YBR036C",0.195349869928519,"low (<0.4)",189.486413744486,60.6573008511756,7.57354429236239
"YBR037C",0.140367584642284,"low (<0.4)",64.1922493686042,12.8782195859794,6.02662854918808
"YBR039W",0.629645798372718,"moderate (0.4-0.7)",338.963816748356,75.0266831458369,8.40923739444483
"YBR041W",0.14364881361843,"low (<0.4)",62.9585629480443,16.9996185410355,5.99906561889915
"YBR042C",0.0445664807546315,"low (<0.4)",51.340599331173,21.956905438403,5.70985853908914
"YBR043C",0.212432371181764,"low (<0.4)",31.2728860579294,8.89859940529014,5.01225069394816
"YBR046C",0.474295648912295,"moderate (0.4-0.7)",103.652542664417,15.2149906616701,6.70946355387462
"YBR047W",0.601348351652562,"moderate (0.4-0.7)",43.0494825170608,5.38250219128964,5.46105316569127
"YBR061C",0.0417523761464323,"low (<0.4)",55.6855597722131,17.3610324485628,5.82490936094907
"YBR062C",0.149787916823786,"low (<0.4)",76.7755836616836,23.8126191969458,6.28124541129642
"YBR063C",0.513459821636698,"moderate (0.4-0.7)",23.3658712586137,6.49477353627816,4.60678990526936
"YBR065C",-0.0517652713856528,"low (<0.4)",37.036671127051,3.97430913601442,5.24931908560102
"YBR066C",0.343383774312243,"low (<0.4)",296.250732405534,64.4676888596669,8.21553655445223
"YBR067C",0.597741167900198,"moderate (0.4-0.7)",765.356630935445,170.773037771248,9.58187210927166
"YBR074W",0.125759596663806,"low (<0.4)",29.6991523842889,11.9981466581927,4.94012691765335
"YBR076W",0.457992834696856,"moderate (0.4-0.7)",7.56553947749139,0.541897081197157,3.09854411344195
"YBR077C",0.0575445739002594,"low (<0.4)",106.453923054178,10.8799783089129,6.74757434510896
"YBR078W",0.0510945910038874,"low (<0.4)",762.718209803549,313.238923784832,9.57689661297018
"YBR079C",0.120151993322348,"low (<0.4)",159.814987709088,100.45303768846,7.3292580595126
"YBR150C",-0.048463172750268,"low (<0.4)",18.7311589380968,9.49781821770684,4.30240379221292
"YBR151W",0.226892980478138,"low (<0.4)",233.339944643935,49.487111131428,7.87245908092807
"YBR152W",0.190610706541895,"low (<0.4)",17.064937767743,2.59922001583137,4.17512037969795
"YBR153W",0.50925357452509,"moderate (0.4-0.7)",57.1452889498233,11.0071243533053,5.86159040121943
"YBR154C",0.199279541565583,"low (<0.4)",269.123339922177,74.4579913520481,8.07747449061831
"YBR155W",0.137420401445549,"low (<0.4)",56.4088616778698,27.5056032641289,5.84320154453985
"YBR180W",-0.1417593232397,"low (<0.4)",2.25224319022403,0.240263979575765,1.70143514062705
"YBR186W",0.011560116261765,"low (<0.4)",4.2212741040012,0.40191134158359,2.38440189860214
"YBR187W",0.373092996986012,"low (<0.4)",157.371659694469,51.9984466255352,7.30717038077115
"YBR188C",0.447318087178437,"moderate (0.4-0.7)",56.6981124466023,21.0649629860553,5.85045221777079
"YBR199W",0.172050451868411,"low (<0.4)",176.215423500876,45.2893028570871,7.46936036048425
"YBR293W",0.685401852018836,"moderate (0.4-0.7)",11.2006664776136,2.83327364437343,3.6088880539612
"YBR294W",0.983526233836697,"high (>=0.7)",11.4766835420937,6.72406967752662,3.64116259373284
"YBR295W",0.231204470205083,"low (<0.4)",20.1448464889874,4.12606704418253,4.40223418136519
"YBR297W",0.703989799333115,"high (>=0.7)",27.1311686031232,12.9349496808541,4.81409758009995
"YCL001W",0.359246806827497,"low (<0.4)",153.443785844848,58.4842864388788,7.27093801405087
"YCL002C",0.28492089237159,"low (<0.4)",46.766327180669,17.4434980531,5.57792204513292
"YCL004W",-0.0316267741636777,"low (<0.4)",26.1163106858633,9.14984050457093,4.7610890006008
"YCL005W",-0.0629083845332264,"low (<0.4)",42.2763713650702,9.74451671082188,5.43550763210466
"YCL005W-A",0.162519281108426,"low (<0.4)",76.5102489302718,117.324290742982,6.88660246410413
"YCR002C",0.301218514636039,"low (<0.4)",153.098567721729,45.8231157474486,7.26770964247517
"YCR003W",0.109227154864784,"low (<0.4)",88.0233045138723,27.9268984765869,6.47611114900593
"YCR004C",0.199827316294481,"low (<0.4)",299.970011899518,49.4352455380017,8.23347593643034
"YCR005C",0.224775004000763,"low (<0.4)",642.829810492969,103.508578242938,9.33053556754511
"YCR008W",0.297148726688968,"low (<0.4)",97.071060826088,20.9593598950714,6.61575557830418
"YCR009C",0.444805955909652,"moderate (0.4-0.7)",261.001460312395,85.1707590041618,8.03343104268088
"YCR010C",0.00443907343094695,"low (<0.4)",7.36491906607535,0.800921198690976,3.06435158168185
"YCR072C",0.115871870432023,"low (<0.4)",40.443219931049,22.2659122441439,5.37306419246034
"YCR073C",0.289379464125311,"low (<0.4)",10.884526744009,3.26176364340397,3.571012549479
"YCR073W-A",0.285639856827169,"low (<0.4)",151.814198338053,29.6811116569399,7.25563478367369
"YCR102C",0.999651471607516,"high (>=0.7)",138.313916119615,92.5416512111269,7.1221955662637
"YDL007W",0.367183372543728,"low (<0.4)",265.556575953922,78.6416028480243,8.05829796360544
"YDL008W",0.235483705361896,"low (<0.4)",54.8472653674836,20.3220457720143,5.80341473392432
"YDL010W",0.280736979427315,"low (<0.4)",39.947965821558,44.078345576551,5.49436266291958
"YDL012C",0.260972714226794,"low (<0.4)",125.810160093747,63.4710376507024,6.98652652933444
"YDL013W",0.0680407295467983,"low (<0.4)",39.5184029854977,15.1022186582419,5.34050540697538
"YDL048C",0.285498526691724,"low (<0.4)",66.2419649127489,48.4975656953006,6.0712899778264
"YDL049C",0.256795130114357,"low (<0.4)",8.603937306328,4.63984317564248,3.26362598581063
"YDL051W",0.345103612868103,"low (<0.4)",109.98242266721,105.640578972043,6.79418739122495
"YDL072C",0.108929308066203,"low (<0.4)",357.888055204286,134.804831658077,8.48739009681193
"YDL073W",0.0647164441569283,"low (<0.4)",25.6209483537957,10.3754194420086,4.73449006211566
"YDL157C",0.15561473105108,"low (<0.4)",177.873847603961,34.7949914691855,7.48279866218351
"YDL160C",-0.0119623942308391,"low (<0.4)",58.5508150044163,13.5253365477414,5.89604934764147
"YDL160C-A",0.366672126967631,"low (<0.4)",36.2938876675918,13.1491490910857,5.22086729227801
"YDL161W",0.206603952448303,"low (<0.4)",92.4943594176102,47.2663213954134,6.54680742367682
"YDL164C",-0.0907478563348718,"low (<0.4)",31.4187026203443,13.8443766183462,5.01875445099119
"YDL165W",-0.0236279799215649,"low (<0.4)",95.5122777354618,34.5036157866441,6.59264058028717
"YDL166C",0.22544867844837,"low (<0.4)",78.2332585348281,30.0900923597515,6.30803423038839
"YDL167C",0.091493268061464,"low (<0.4)",30.557310652791,13.7396902263852,4.97990235748836
"YDL235C",0.346595872044378,"low (<0.4)",165.950941941824,42.179837029263,7.38328042292397
"YDL236W",0.0383885448745992,"low (<0.4)",147.43675292202,36.767490265682,7.2137045370806
"YDL237W",0.327718823203156,"low (<0.4)",68.533801548042,23.7248646591142,6.11964256151476
"YDL238C",0.113591339247315,"low (<0.4)",23.4162324598721,4.15907624152406,4.60976869771914
"YDL239C",0.116978042372215,"low (<0.4)",14.4759443672273,5.96816523792706,3.9519555426045
"YDL240W",0.1684236693601,"low (<0.4)",10.0248696967836,4.4419631019214,3.4626896995214
