"gene","var_bulk","var_sc","log_var_bulk","log_var_sc"
"YEL048C",80.7037833112104,19.5745780906028,6.35233097910837,4.36279094143531
"YEL047C",2209.16081290582,20.9451361703203,11.1099356296368,4.45582931708475
"YEL046C",8187.62067634368,692.737818995736,12.9994047437339,9.43824672476811
"YEL044W",1811.27464391212,266.774652550836,10.8235858920248,8.06487559192335
"YEL043W",89.9822048050875,30.0709154721425,6.50751249129781,4.95749284447916
"YEL042W",527.083195064979,94.8239912058152,9.04462142173099,6.5823149999139
"YEL041W",2041.76321011034,0.959182501085283,10.9963062663161,0.970251793290649
"YEL040W",8677.49492393348,2305.98184388933,13.0832291482936,11.1717909346154
"YEL039C",448734.525067496,248.539289714368,18.7755058768819,7.96312317412882
"YEL038W",1015.38821143123,62.8277410789612,9.98923583217865,5.9961116853123
"YEL037C",5426.51730505732,149.826535584826,12.4060767053884,7.23674646048216
"YEL036C",2436.26384605542,234.6568511864,11.2510467231634,7.88054381481126
"YEL035C",13.3899128461854,4.34470317431745,3.84698594917843,2.41810982805219
"YEL032W",201.105463568846,40.6560796154823,7.6589645127647,5.38045516409209
"YEL031W",896.341211132246,434.158240920705,9.80951285942951,8.76539630769755
"YEL030W",7.37908467738424,7.29684251752825,3.06679265400545,3.05256240260617
"YEL029C",198.562988337474,23.7277970160867,7.64070036789864,4.62806181154461
"YEL027W",72372.0950798243,9967.98872246076,16.1431658502153,13.2832314463479
"YEL026W",66756.552242116,17412.3217054682,16.0266434368129,14.0879038123434
"YEL025C",28.4854353499357,7.85642936992021,4.88193059047356,3.1467251673361
"YEL024W",49448.5249824042,637.052531410218,15.5936690419126,9.3175313969704
"YEL023C",8.76752930696283,2.24187838334258,3.28799367914675,1.69682997023869
"YEL022W",42.8518520978235,32.4899522872259,5.45456587155778,5.06565641554138
"YEL020W-A",4401.87621171953,814.096552841938,12.1042305676721,9.67082715470826
"YEL020C",64.1706773698247,20.3343004551855,6.0261510849776,4.41510290069797
"YEL019C",38.7987681242636,8.61910008358505,5.31465187117085,3.26590192874805
"YEL018W",26.363463449404,42.1606981022457,4.77417894152363,5.43164629475738
"YEL017W",267.419860338997,42.3502621532451,8.06834761001834,5.43796881281067
"YEL016C",18.4476313780035,10.2354128319128,4.28152254792411,3.48998123049651
"YEL015W",189.078372440789,49.5897470244003,7.57045057790285,5.66077311980927
"YEL013W",310.621948581137,45.0504561124962,8.28365304061331,5.52514354062802
"YEL012W",2397.47944899652,44.4028347443771,11.2279043627431,5.50471047046483
"YEL011W",22979.2300654508,215.702761062183,14.4881056210767,7.75957372504915
"YEL009C",151505.924321749,6941.5091448487,17.2090242051408,12.7612414570619
"YEL007W",1504.85655379534,91.6438677732185,10.5563686317074,6.5336235803039
"YEL006W",102.516583218798,34.7105404943021,6.69371809383827,5.158278064783
"YEL005C",76.1244887678914,18.1092250112998,6.26911711604443,4.25619736482877
"YEL004W",17.6751298447283,13.3691255145924,4.22304636872888,3.84490035889902
"YEL003W",1381.16228492592,19.1610101648372,10.4327113026404,4.33349602158681
"YEL002C",354.675366952454,223.047367857655,8.47441725074706,7.80765996736528
"YEL001C",821.494394066022,189.022887272392,9.68386203557615,7.57002938394039
"YER001W",23433.8318795856,176.717698273484,14.5163668245751,7.47344355116362
"YER002W",11979.2252956215,151.342531405985,13.5483674187128,7.25117496339504
"YER003C",2850.29528845665,741.998393154606,11.4774017413816,9.5372152804977
"YER004W",2533.92794475392,449.733856567246,11.3077290239129,8.81613201095547
"YER005W",73.2040211141684,22.3443340268524,6.21342546346231,4.54500052648044
"YER006W",3480.50170125252,301.197464243683,11.7654940130457,8.23934774459113
"YER007W",7.36640518051348,16.9745175211084,3.06460786862054,4.16788114069818
"YER007C-A",1164.30359159973,223.357600677721,10.1864901477275,7.80965624953809
"YER009W",16771.5969030865,3119.04155208579,14.0338184583832,11.6073495273999
"YER012W",9397.97710906433,964.533889870187,13.1982880414546,9.91518308788342
