"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","which_phenotype","peak_spread_min","amp_spread"
"YML119W","YML119W",74,0.240649939544219,0.246745854880949,0.0962026389690779,0.382635499799817,0.134321453571958,0.351042842711225,0.707450373547244,76.8038411697974,5.57496675841329,74,0,1,0.200250548073912,0.0863878972865104,1.02136762135329,0.143712574850299,0.231337775056949,3.97380522817455,0.00199600798403194,2.81783843482838,4.88853576449714,0.00199600798403194,0.368511653940796,0.0100430717512344,0.0164498589028839,0.219800721405695,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.57496675841329,0.707450373547244
"YPR174C","CSA1",74,0.172054729780089,0.164004487931478,0.0831823346873414,0.329589363232792,0.129161028361349,0.391884698870337,0.647677847114192,20.7820433721131,5.53343100757491,74,0,1,0.278233636078923,0.0773495250270419,0.66378525425244,0.241516966067864,0.278688072530882,3.21228070210234,0.00399201596806387,3.8334214636278,2.75728718438309,0.0159680638722555,0.45095746007984,0.0160351565776011,0.0652370472729754,0.172310118415344,TRUE,TRUE,"cycling, varies between strains","amplitude",5.53343100757491,0.647677847114192
"YKL104C","GFA1",74,0.209738640479885,0.215510849674138,0.093451942120312,0.530347133428275,0.208319987385932,0.392799308708069,0.984389152311844,0.730063540171086,5.40248775945186,74,0,1,0.599624177889132,0.0795788177920497,1.65462363434853,0.0678642714570858,0.281459150394325,3.22487798360289,0.00199600798403194,4.53747276542117,1.37184186697029,0.0778443113772455,0.247626883637306,0.0100430717512344,0.202225982816975,0.191531564715104,TRUE,TRUE,"cycling, varies between strains","amplitude",5.40248775945186,0.984389152311844
"YLR190W","MMR1",74,0.412944291023139,0.434704080429693,0.108909216041802,1.01567788030525,0.250652064696638,0.246783029892615,1.63528143139704,74.6468587251667,5.38810343897125,74,0,1,0.44760413404322,0.0775714006691794,3.51946806310403,0.00399201596806387,0.114975078257018,8.32666726913267,0.00199600798403194,2.88414317987853,5.9333899771952,0.00199600798403194,0.0454329436365365,0.0100430717512344,0.0164498589028839,0.394376480168133,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",5.38810343897125,1.63528143139704
"YBR038W","CHS2",74,0.251239274402125,0.253364672872066,0.0745830211488576,0.448230533656213,0.126240973950376,0.281642959306297,0.75095738546987,76.4007929385858,5.22321672211505,74,0,1,0.247103037895396,0.0792645733362005,-0.531677636376361,0.708582834331337,0.197082732041804,3.33238158954543,0.00399201596806387,3.48122698345928,3.06931225126856,0.00598802395209581,0.793214507752644,0.0160351565776011,0.0336738288129623,0.240488904357272,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.22321672211505,0.75095738546987
"YNL031C","HHT2",74,0.624037672326318,0.638459397774208,0.10878543043307,3.13959328439762,0.523958538429664,0.166887393037023,2.94596883335123,36.627776566821,5.18482712148573,74,0,1,0.948637644848105,0.0642418106819047,6.0142968606441,0.00199600798403194,0.0685862226973767,11.5029449918434,0.00199600798403194,1.6313183463696,13.4979523360814,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.600835306334651,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",5.18482712148573,2.94596883335123
"YHR143W","DSE2",74,0.303066064410617,0.314222484470789,0.109562539756751,0.521133473711076,0.19407516541801,0.372409709236234,0.932083499786148,18.595805234478,5.16294719424212,74,0,1,0.18133416849358,0.0891085087780975,2.202179803871,0.0279441117764471,0.216361493364751,6.02457824835377,0.00199600798403194,2.01996619725094,8.75895773448803,0.00199600798403194,0.157144534460491,0.0100430717512344,0.0164498589028839,0.308057237268887,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.16294719424212,0.932083499786148
"YIL158W","AIM20",74,0.312488510768205,0.337020670244727,0.116284844180413,0.661668920280419,0.218388688466003,0.33005734706936,1.13878114869143,73.0656235696677,5.12219672385093,74,0,1,0.393485750078296,0.0807659959507014,4.07389635228872,0.00199600798403194,0.156789769271446,7.52026396437989,0.00199600798403194,2.74850317907876,4.07542643767624,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.304236442936804,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",5.12219672385093,1.13878114869143
"YOR025W","HST3",74,0.200023399676332,0.206521490235326,0.0801747454685215,0.386376158162572,0.119553748277845,0.309423202628205,0.82614735058057,70.9629410681361,5.0592127746305,74,0,1,0.259442530535547,0.0726474784791909,0.86622378099064,0.17564870259481,0.224900048621164,2.87972168899911,0.0119760479041916,4.15903473699004,1.62344937880102,0.0518962075848303,0.386793979608351,0.0369325864400232,0.14854124087155,0.187740584590873,TRUE,TRUE,"cycling, varies between strains","amplitude",5.0592127746305,0.82614735058057
"YBL035C","POL12",74,0.23374445131283,0.238407924311636,0.111506444235246,0.356219149974199,0.126275695271032,0.354488789499884,0.544522611532984,20.7612739777567,5.02998141448645,74,0,1,0.207140620106483,0.0874122303175607,2.59213677161122,0.00798403193612774,0.218413374244383,4.93340537594939,0.00199600798403194,2.68890331748707,5.19279614645875,0.00199600798403194,0.0669538116748958,0.0100430717512344,0.0164498589028839,0.248035854712375,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.02998141448645,0.544522611532984
