"name","gene","mean_r2","cv_amp","amp_trim_excess_final","amp_robustness","frac_explained","cv_amp_p_fdr","which_phenotype","early_strains","late_strains"
"YML119W","YML119W",0.240649939544219,0.351042842711225,0.980293765281977,0.646015104056927,0.0249136360424907,0.0100430717512344,"amplitude timing","SACE_YCE,BRK","AAP,CBN,BDL"
"HHO1","YPL127C",0.272839893989777,0.239281461568823,0.974492944497792,0.71197882084738,0.0101621594718205,0.0409732681875513,"amplitude",NA,"AKH,APQ,BAN,SACE_YCM,BHM"
"SRL1","YOR247W",0.423915810258285,0.24139648598514,0.963726894293061,0.512981646242472,0.0540407078818346,0.0100430717512344,"amplitude timing",NA,"AFE,AKI,AAP,BFH,APQ"
"PRI2","YKL045W",0.194672923608137,0.370853275250398,0.957911920618353,0.646946224027808,0.0737279450877844,0.0100430717512344,"amplitude",NA,"SACE_YCE"
"CSI2","YOL007C",0.370783400731813,0.26933824728847,0.957902347604319,0.623361913910445,0.0980944468819742,0.0100430717512344,"amplitude timing",NA,"AAP"
"GSR1","YMR295C",0.191573035016647,0.397820013038544,0.955368220649962,0.550096112052552,0.000674746734223297,0.0100430717512344,"amplitude timing","BHM,CNH,AMP","AAP,BRK,BDB,SACE_YCM,APQ"
"KCC4","YCL024W",0.185994411698057,0.45314370037913,0.95316482467302,0.666129238190616,0.109112730913037,0.0265025504546463,"amplitude","SACE_YCE","APQ,BDL"
"MIX17","YMR002W",0.169485484465762,0.46203635549948,0.948156242200243,0.751371497021221,0.000128235930128007,0.0409732681875513,"structure amplitude","CLN,CEG,AKI,SACE_YCM,BRK","CNH,BNV,CBN,CCQ,CGS"
"POL12","YBL035C",0.23374445131283,0.354488789499884,0.933086241785618,0.574908207441278,0.00328675465034489,0.0100430717512344,"amplitude timing","CNH,AAP","APQ,CBN"
"CLN2","YPL256C",0.351646918763715,0.280640600091109,0.926911743059196,0.615920960391875,0.133914084934385,0.0100430717512344,"structure amplitude timing",NA,"BDL"
"ACM1","YPL267W",0.316355146861549,0.280132523258782,0.925969896091051,0.669331654603012,0.0928435150875224,0.0216839049174379,"amplitude",NA,"SACE_YCK"
"DSE1","YER124C",0.219489861505061,0.406252333915488,0.924978920165959,0.689374886369501,0.179956489423239,0.0265025504546463,"amplitude timing","APQ","AFE,BDL"
"SPT21","YMR179W",0.207353438087325,0.390839245230482,0.909747122412409,0.638084617067315,0.1126361585285,0.0160351565776011,"amplitude timing","BDL,AAP","BGD,CNH"
"GAS3","YMR215W",0.185765266017321,0.332301450645272,0.905215545481124,0.592508653984398,0.030080094129236,0.0100430717512344,"amplitude timing","BDL,BRK,AAP,APQ,CDT","CBN,CGN,AFE,AKH,CCG"
"NDL1","YLR254C",0.18763167119159,0.425061770387553,0.893752880848776,0.600894108657381,0.00980588620408751,0.0100430717512344,"amplitude timing","AAP,BGD","CBN,SACE_YCE,APQ,CLP"
"CSA1","YPR174C",0.172054729780089,0.391884698870337,0.891405827955787,0.633921591610775,0.0791059717403721,0.0160351565776011,"amplitude","BDL,AMP,SACE_YCK","APQ,SACE_YCU"
"HST3","YOR025W",0.200023399676332,0.309423202628205,0.873348288973287,0.634781331797252,0.0249719603286033,0.0369325864400232,"amplitude","BAG,CBN,BDL,BRK","SACE_YCK,AMP,BGF"
"YOR342C","YOR342C",0.152305303022271,0.465043231273157,0.862918789326011,0.609848890963328,0.00255053896586177,0.0100430717512344,"amplitude","BDL","CDH,APQ,BRK,AAP,AMP"
"MCM3","YEL032W",0.186278732822216,0.406006706046365,0.832507150385903,0.603761642744373,6.13315735955577e-05,0.0100430717512344,"amplitude","SACE_YCK,AFE",NA
"ERV25","YML012W",0.169159753577531,0.41866914610328,0.830495880508392,0.578468677546223,0.064679145992473,0.0160351565776011,"amplitude","BHM,AKI","AAP,BFH,SACE_YCM,BDP,CNH"
"PDS5","YMR076C",0.186674773186016,0.340580744601068,0.81777062017616,0.626454135970688,0.207980057268833,0.0315924442505717,"amplitude",NA,NA
"TOS4","YLR183C",0.312157615466836,0.262017826457799,0.751234312589277,0.523071047470233,0.252883665821612,0.0160351565776011,"amplitude timing","AAP","APQ"
"SLK19","YOR195W",0.176028925794208,0.368789026252053,0.728627058065223,0.524525899355846,0.00633527435682479,0.0160351565776011,"amplitude","BDP","AMP,AAP"
"SMC3","YJL074C",0.266815003081686,0.262546179149482,0.725056570228482,0.543287123740148,0.11425244339929,0.0265025504546463,"amplitude",NA,"BDL"
