"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr"
"YMR011W","HXT2",74,0.126111637550709,0.111887353770911,0.0789795607567838,0.279364835006701,0.24570453345722,0.879511315199447,0.84988246189461,8.4842939339966,12.0923064287401,74,0,1,0.720263075477607,0.0621112409557977,2.13982346266255,0.0339321357285429,0.881966534783077,-0.0340721964878268,0.489021956087824,9.38761946937486,1.88742937056088,0.0239520958083832,0.172548519981314,0.57716665434563,0.0829645057710666
"YJL196C","ELO1",74,0.0466024311341093,0.0449575727942055,0.0663431496555613,0.111378975836136,0.128257807703257,1.15154414682313,0.592822532824369,15.9497448363304,21.0572157595196,74,0,1,0.531099279674287,0.0499874666589607,2.09726227388186,0.0339321357285429,1.56874525399182,-2.43542112879747,0.998003992015968,19.2563203370531,1.03818514733834,0.153692614770459,0.172548519981314,1,0.304834314772944
"YDR085C","AFR1",73,0.0100806571902704,0.00716660843063455,0.0260299779532246,0.0277964388722318,0.0391353668809417,1.40792736295574,0.213076548739507,82.5848475229513,20.3093342108335,74,1,0.986486486486487,0.0541810209834012,0.0348042809461261,-0.939974805691197,0.872255489021956,1.57507911206057,-0.710068288242818,0.7624750499002,21.1520266320485,-0.521205631722743,0.678642714570858,0.906387225548902,0.819018143488304,0.802948558328887
"YCR018C","SRD1",50,0.00089231994739924,-0.00245417087798117,0.017686329169437,0.00699525993979328,0.0160737516864036,2.29780620373609,0.101977049750117,45.2865150479301,33.3751168354487,74,24,0.675675675675676,0.0103977450673348,0.0171726371869272,0.0747749083737129,0.341317365269461,1.97573767449028,0.635152332023469,0.177644710578842,32.5013969230586,0.235039987249678,0.353293413173653,0.521245049836429,0.280244790946161,0.507129884375393
"YER150W","SPI1",71,0.0184891263983462,0.0066895635492874,0.0662289781417228,0.0405082019154019,0.0955735184533554,2.35936215221186,0.611531045497191,6.71479766878783,18.5359683720907,74,3,0.959459459459459,0.0417788913247729,0.0414732762695462,2.31339446488548,0.0399201596806387,1.47921752549809,3.32523630782106,0.00998003992015968,16.6661389128963,1.29360934803576,0.093812375249501,0.18707682673868,0.0315924442505717,0.227625966341429
"YOL011W","PLB3",74,0.047548134131154,0.0381441358893501,0.0530946275564314,0.0998760060949152,0.0961210783105155,0.962404105538308,0.515731495567313,6.32785161764379,11.3941253533775,74,0,1,0.234888819292202,0.0530570555455562,0.00432922211587711,0.455089820359281,0.799683060522635,2.16020997733307,0.0219560878243513,8.9441247609366,1.95202057707963,0.0199600798403194,0.632363180615513,0.0579834805527067,0.0751253398714382
"YFL066C","YFL066C",4,-0.00570794634080207,-0.00553170120606383,0.00456627923681028,0.00645025128808627,0.0129005025761725,2,0.0258010051523451,16.3366850274822,31.8624544642047,74,70,0.0540540540540541,0.000438459129345443,0.00699648127859407,-0.365331039632488,0.524950099800399,1.61741619189921,0.891286676432042,0.200803212851406,26.660431604574,1.77651864529517,0.0658682634730539,0.672724256580672,0.306657941670837,0.17688219067483
"YOR126C","IAH1",74,0.0786044120473982,0.0757021933963497,0.0647204877576555,0.194802649320502,0.124225883701694,0.637701202396426,0.468326396947572,10.099831927978,8.56507650486453,74,0,1,0.348261822737238,0.0597036664601752,0.599004596437795,0.253493013972056,0.537395622807716,1.99176656579554,0.029940119760479,7.91054043669937,0.702479517553793,0.233532934131737,0.464444695514631,0.0745384231536926,0.390912619206032
"YPL014W","CIP1",74,0.083327748486792,0.0719078106174408,0.0806121447873853,0.144728804268908,0.125251518102852,0.865422185552866,0.662415889333342,16.9967512792409,7.38240492134588,74,0,1,0.137300344503602,0.0633413986858383,1.95077514778311,0.0439121756487026,0.498972517163194,6.95559512017794,0.00199600798403194,5.66628039783251,1.70198683846682,0.0518962075848303,0.198019056227168,0.0100430717512344,0.14854124087155
"YGR086C","PIL1",74,0.314175744278692,0.302293556569914,0.125434644557798,0.799299751184182,0.283731399629756,0.354974963034082,1.40880754435892,12.4446593011315,4.8245893072777,74,0,1,0.921265267773254,0.0812684810188589,5.46769551563131,0.00199600798403194,0.20144883148729,5.64413459958015,0.00199600798403194,2.20351896532041,4.67862640335678,0.00598802395209581,0.029815369261477,0.0100430717512344,0.0336738288129623
