"gene","name","r2_pooled","r2_adj","amp","amp1_db","peak","p_periodic","pct_nonzero","is_spellman","fdr_periodic"
"YMR076C","PDS5",0.189994152552949,0.189740375421724,0.346322698899358,0.292167575379985,25,0,0.169683683056686,TRUE,0
"YDR033W","MRH1",0.189853699231778,0.189599878096128,0.766870722408533,0.713933602101837,81,0,0.388975884747886,TRUE,0
"YOR025W","HST3",0.187994988066008,0.187740584590873,0.4111643482054,0.39688033530869,72,0,0.259442530535547,TRUE,0
"CDC20","CDC20",0.186879537935545,0.186624784986719,0.347060042889776,0.312342492046377,77,0,0.17469464453492,FALSE,0
"YNK1","YNK1",0.186640584415843,0.186385756602201,0.709839398154808,0.621894151859458,30,0,0.60300657688694,FALSE,0
"SWE1","SWE1",0.185921859104098,0.185666806111775,0.329324497238113,0.274046009750984,26,0,0.159536486063263,FALSE,0
"SEC53","SEC53",0.185914237341093,0.18565918196085,0.658877645134349,0.58246292632868,36,0,0.985029752583777,FALSE,0
"FKS1","FKS1",0.185284585976545,0.185029333324742,0.745237939847329,0.717251773099643,31,0,0.85211399937363,FALSE,0
"CDC5","CDC5",0.183162446661775,0.182906529137701,0.449485625079074,0.410694031801981,72,0,0.285875352333229,FALSE,0
"YER001W","MNN1",0.180903035823107,0.180646410419204,0.521322226364466,0.447368202014739,28,0,0.287942373943,TRUE,0
"YCL024W","KCC4",0.179673629986338,0.179416619406097,0.261844864790728,0.2174986214967,18,0,0.112308174130911,TRUE,0
"YNL273W","TOF1",0.179412867285564,0.179155775007628,0.330949384571498,0.308954088678107,22,0,0.207203257124961,TRUE,0
"YJL194W","CDC6",0.178558878032527,0.178301518197334,0.348952008747492,0.204333683582361,6,0,0.133103664265581,TRUE,0
"CWP1","CWP1",0.177200678052219,0.176942892689117,1.1492349423165,1.04515771293113,53,0,0.586783589101159,FALSE,0
"YEL032W","MCM3",0.17466176519287,0.174403184381162,0.346228944562366,0.323107233209119,7,0,0.235703100532415,TRUE,0
"YMR295C","GSR1",0.174459279991417,0.174200635740521,0.709220048871636,0.649104970304134,39,0,0.641340432195427,TRUE,0
"YLR254C","NDL1",0.173953167573499,0.173694364756146,0.336682638089983,0.326843703556368,82,0,0.217350454118384,TRUE,0
"YGR041W","BUD9",0.173758769451628,0.173499905728791,0.300219313965401,0.238939234597742,14,0,0.126526777325399,TRUE,0
"MSA1","MSA1",0.173649658625708,0.17339076071814,0.292336137805251,0.213479199493393,6,0,0.121327904791732,FALSE,0
"YOR195W","SLK19",0.17268306800013,0.172423867256975,0.441946325446736,0.354272389933641,27,0,0.278484184152834,TRUE,0
"YPR174C","CSA1",0.172569354785171,0.172310118415344,0.360717304238802,0.346195487968987,21,0,0.278233636078923,TRUE,0
"YPR120C","CLB5",0.171384110075409,0.17112450236505,0.370051105845492,0.320372969578215,21,0,0.234387723144378,TRUE,0
"FBA1","FBA1",0.170467639965174,0.170207745122128,0.202901774195278,0.168361020092159,71,0,0.999310992796743,FALSE,0
"YMR215W","GAS3",0.168339041097038,0.168078479357924,0.556585829579932,0.553331625660535,48,0,0.390416536172878,TRUE,0
