"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YNL111C",79,0.194417851860505,0.212740720611018,0.0994669948026374,1.14429082033732,1.09482796622406,0.956774227989808,79.7608925663913,25.6578671084899,84,0,5,1,0.942361611038822,0.170055922156812,0.0157270858039653,0.733665991817766,0.15848390376416,19.9334430958431,1.81151365219665,2.7140945872784,1.40776590475743,3.16002256218458
"YOR315W",79,0.312068369497929,0.178602155201916,0.263681824184313,0.720267799510612,0.34048744261715,0.472723399336323,68.752825263607,9.71252417698513,84,0,5,1,0.331409277038471,0.144635089092885,0.0125497540271128,0.498926008583146,0.182068428857183,9.22842830419655,0.620825384646285,2.70659217986646,-0.143916270444539,0.779761724892085
"YDL157C",79,0.203746933459156,0.197874608147119,0.129797203988425,0.916261939411854,0.82471597752629,0.900087564540411,28.191081374639,13.2373363454748,84,0,5,1,0.619491905940066,0.163199694127873,0.0133673952774372,0.573318026090896,0.171678725998838,12.7733845651227,1.3518630999946,2.59399182111223,1.9033781649319,0.343194351820045
"YDL197C",79,0.209694279206227,0.204975774483017,0.140795807016261,0.43318094334647,0.599804632791238,1.38465147648819,27.2549227746202,11.0944798270356,84,0,5,1,0.184538930704296,0.156922263280366,0.0199695321064558,0.632847863392585,0.226041857060624,9.65185839997701,0.803891558052085,2.40634136776376,3.32594866663998,1.79454730256682
"YDL179W",79,0.513478104188651,0.189250094395804,0.504693426513347,0.955737271352212,0.328847128638718,0.34407691161134,3.69691740157837,3.15779974231731,84,0,5,1,0.12666431068112,0.155481202839867,0.0142967078493992,0.331422065832165,0.0461419243185521,4.08207862624157,1.01430089147708,2.36200472945636,0.274259168122435,-0.911247236092121
"YKL185W",79,0.595051109841536,0.162546543532481,0.590623043196048,1.5728048210858,0.506466491409203,0.322014839107346,2.49840205856046,5.19937834565377,84,0,5,1,0.18350957649609,0.138876387448262,0.0101557824005016,0.271361777530725,0.039403241490847,3.56815870619349,1.03645947341577,2.33070729075976,1.2855049396986,1.57383832296348
"YLR457C",78,0.154424988783156,0.213775498532267,0.0781661169525518,0.235600555622829,0.246143626125734,1.04474976926533,17.7631414773584,14.5415705024343,84,1,5,0.988095238095238,0.0931358231736756,0.159107484006943,0.0236665487661874,0.902887950892636,0.259950213150449,14.9138885027653,1.11771577260699,2.30992761409426,0.545726878441098,-0.333106152257804
"YLL062C",79,0.18344023518314,0.214757550468581,0.0908738239297795,0.380173791601083,0.325871890686998,0.857165585546034,5.38446330176487,14.136566532483,84,0,5,1,0.174857137339067,0.166901752851654,0.0210813640737632,0.706954682263862,0.167859044039891,13.5767398713023,1.21502851220921,2.2700522342615,0.894863330965208,0.460751871709403
"YKL182W",79,0.192344574540381,0.197948297766234,0.114559191601881,1.07484366786349,1.05863927313895,0.984923952004342,13.4384276319629,15.128196824013,84,0,5,1,0.926440216067683,0.170668847107862,0.0122446090559076,0.633879163147594,0.138604376012329,14.2063845967234,0.895502890534074,2.22787436771697,2.53271071921656,1.02937939903218
"YGR113W",79,0.165773925472442,0.212398567444241,0.0796664566458363,0.567166924398429,0.921749665870918,1.62518233384039,38.5981009123807,18.6261089220403,84,0,5,1,0.286848451845828,0.172126205386335,0.0183833591906484,0.724709641782512,0.240544990248635,19.1097928607838,1.41714792222817,2.19069657728238,3.74346890836149,-0.341308011081139
"YOR129C",79,0.158104836038642,0.216652599544473,0.0656893643237757,0.31441358928425,0.458346825968535,1.45778312894154,71.1945398854951,24.366535636885,84,0,5,1,0.122632895488568,0.158615727283278,0.0271995984619285,0.835006848989781,0.180364716895377,24.6384013236132,2.1275120775525,2.13374003820056,3.45287199554117,-0.127785731322831
"YPL141C",78,0.206378011413903,0.19315063547248,0.138414546152951,0.317094559262913,0.160659989619094,0.506662712827836,73.7326453827259,10.3680867831843,84,1,5,0.988095238095238,0.136379679602855,0.155977470572455,0.0176256964516688,0.731330387652512,0.241846664682986,11.1724551878901,0.952610468391924,2.10903240061784,-0.928967431157968,-0.844383335471444
"YBR067C",78,0.286239886742276,0.196045185752979,0.264092458336817,1.13734457613264,0.937625516968885,0.824398811622358,4.08014074603769,11.7710897808565,84,1,5,0.988095238095238,0.320303521579057,0.167123903704928,0.0138650329638682,0.503009610603277,0.174894958275851,8.12230441534519,0.872057092615276,2.08591513077672,1.837612725875,4.18411293986349
"YJL091C",79,0.169977428768723,0.1980006757006,0.0914822860935198,0.455356128447135,0.637792962801421,1.40064648954311,24.7818177219277,15.7745287615098,84,0,5,1,0.239306012722355,0.164213327045163,0.0162277300813505,0.657718951375352,0.16526042416603,17.0063335393791,1.22649636887082,2.08207484879647,4.49549577230523,-1.00432810820575
"YNL030W",79,0.676903045995118,0.104801656219645,0.660444879257568,3.36774183799472,0.895033253834755,0.265766586897198,37.7676192618276,6.2284784977422,84,0,5,1,0.867217951693214,0.0880508964694734,0.00817674397463497,0.174075570877296,0.0645780889800542,5.09597769707696,0.589683442972424,2.04858557417648,1.41984715664507,1.92052331494442
