"name","gene","mean_r2","mean_peak","sd_peak","peak_trim_excess","peak_robustness","n_early","n_late","sd_peak_p_fdr","which_phenotype","early_strains","late_strains"
"UTH1","YKR042W",0.342566989065211,82.7067862576266,7.18046214643805,1.16729147852944,0.501360487191736,3,4,0.0164498589028839,"structure amplitude timing","BRK,AFE,CLN","APQ,SACE_YCE,BDL,CBN"
"SPO12","YHR152W",0.281182675837271,81.3555554004647,4.76649325852742,1.15945784878182,0.671353094704391,1,3,0.0410362071555813,"amplitude timing","AAP","CBN,CLN,SACE_YCE"
"SIM1","YIL123W",0.254064012667106,39.0000605510838,8.73537630144299,1.15581284209627,0.663966817209913,3,11,0.0164498589028839,"timing","BDL,CBN,SACE_YCK","AFE,BGD,AAP,BGF,CNH"
"HHF2","YNL030W",0.625010067364738,35.8756161565821,3.39195323614458,1.13620588601259,0.518875078006818,0,1,0.0164498589028839,"structure amplitude timing",NA,"APQ"
"GAS3","YMR215W",0.185765266017321,48.5998063230097,9.20546984991784,1.10144793887669,0.787575226273182,7,11,0.0164498589028839,"amplitude timing","BDL,BRK,AAP,APQ,CDT","CBN,CGN,AFE,AKH,CCG"
"YML119W","YML119W",0.240649939544219,76.8038411697974,5.57496675841329,1.06109703205255,0.536326067861792,2,3,0.0164498589028839,"amplitude timing","SACE_YCE,BRK","AAP,CBN,BDL"
"MMR1","YLR190W",0.412944291023139,74.6468587251667,5.38810343897125,1.02976857068694,0.551214362092325,5,0,0.0164498589028839,"structure amplitude timing","AAP,BDL,CBN,SACE_YCE,APQ",NA
"DSE1","YER124C",0.219489861505061,15.8847449426352,6.24391698708176,1.01716521055885,0.403592809643964,1,2,0.0164498589028839,"amplitude timing","APQ","AFE,BDL"
"PIL1","YGR086C",0.314175744278692,12.4446593011315,4.8245893072777,0.993864829151381,0.453924647367698,1,1,0.0336738288129623,"structure amplitude timing","BDL","APQ"
"AIM20","YIL158W",0.312488510768205,73.0656235696677,5.12219672385093,0.985991219012647,0.529069878823902,2,1,0.0164498589028839,"structure amplitude timing","CCN,SACE_YCM","CNH"
"SED1","YDR077W",0.338745109681914,0.345915905553397,7.85670589504469,0.956203864229646,0.358929052158947,7,1,0.0164498589028839,"structure amplitude timing","AAP,BFH,SACE_YCE,CLN,CMI","BHM"
"NRM1","YNR009W",0.190797470394709,43.8897596297105,9.06275278719533,0.947776431049655,0.655429993455473,6,10,0.0164498589028839,"structure amplitude timing","AAP,BEF,BHK,AFE,BHG","CBN,BDL,SACE_YCE,BRK,CNH"
