"gene","strain","r2","amp","peak","reason","n_cells","pct_expressed","fit_status"
"YAL067C","BAN",NA,NA,NA,2,240,0,"constant_expression"
"YAL067C","BAP",0.0386505697911528,0.0350026722806988,38.8962971080433,0,235,0.00851063829787234,"ok"
"YAL067C","BAQ",NA,NA,NA,1,4,0,"too_few_timepoints"
"YAL067C","BBQ",0.0500864926298423,0.064979383520847,71.863977952437,0,235,0.00851063829787234,"ok"
"YAL067C","BCK",0.0402410811109373,0.0339290615385206,15.4565288424492,0,356,0.00280898876404494,"ok"
"YAL067C","BDB",NA,NA,NA,2,112,0,"constant_expression"
"YAL067C","BDL",0.170299337845285,0.129892197232972,47.8284436355938,0,48,0.0416666666666667,"ok"
"YAL067C","BDP",0.0232341313485628,0.0530234555793127,48.485313762318,0,268,0.0223880597014925,"ok"
"YAL067C","BEF",0.0439247789537488,0.0429555109462225,26.5335878892378,0,277,0.0144404332129964,"ok"
"YAL067C","BFH",0.098532005849719,0.100135041340331,0.259742736816406,0,110,0.00909090909090909,"ok"
"YAL067C","BFP",0.0349932323473848,0.052474962419533,0.790237426757812,0,254,0.0118110236220472,"ok"
"YAL067C","BGD",0.240673971941146,0.302578565618297,37.446053201502,0,77,0.025974025974026,"ok"
"YAL067C","BGF",NA,NA,NA,2,101,0,"constant_expression"
"YAL067C","BHG",0.0716961225584032,0.111239652119194,11.8359534523704,0,163,0.0184049079754601,"ok"
"YAL067C","BHK",0.0751880270889159,0.0881017220801549,63.5559872713956,0,200,0.02,"ok"
"YAL067C","BHM",NA,NA,NA,2,59,0,"constant_expression"
"YAL067C","BHQ",0.0264270566987949,0.0620538141626303,69.898193359375,0,454,0.013215859030837,"ok"
"YAL067C","BMA",NA,NA,NA,2,292,0,"constant_expression"
"YAL067C","BMB",NA,NA,NA,2,279,0,"constant_expression"
"YAL067C","BMC",NA,NA,NA,2,128,0,"constant_expression"
"YAL067C","BNC",0.0480419868046569,0.0705313752341248,64.3586994517933,0,243,0.00823045267489712,"ok"
"YAL067C","BNV",NA,NA,NA,2,179,0,"constant_expression"
"YAL067C","BQM",0.0437874169955604,0.0181711057773772,39.3105386387218,0,125,0.008,"ok"
"YAL067C","BRK",NA,NA,NA,2,43,0,"constant_expression"
"YAL067C","BTG",NA,NA,NA,2,11,0,"constant_expression"
"YAL067C","BVG",0.273591973781065,0.113894186098748,87.2021255493164,0,124,0.00806451612903226,"ok"
"YAL067C","CAE",NA,NA,NA,2,176,0,"constant_expression"
"YAL067C","CBN",0.236861467187232,0.142284800610182,22.5942044691606,0,50,0.16,"ok"
"YAL067C","CCD",NA,NA,NA,2,299,0,"constant_expression"
"YAL067C","CCG",NA,NA,NA,2,132,0,"constant_expression"
"YAL067C","CCN",NA,NA,NA,2,75,0,"constant_expression"
