"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YML052W",79,0.501706383135101,0.131377279397554,0.484007781553173,1.32939316529135,0.384307822934113,0.289085150253414,71.80441714067,7.40287529237402,84,0,5,1,0.513559454520042,0.118875982667384,0.00974396476489484,0.289765169969375,0.0811581448039904,7.08726992652025,0.607621178531369,1.28297844171287,-0.0083789460392814,0.519411398096086
"YBL023C",79,0.228664112872022,0.193723830230163,0.166185682944542,0.470973799158221,0.326986838275024,0.69427819309578,4.15713202021267,11.6265554187347,84,0,5,1,0.226659307358459,0.167525271634902,0.0206252083673865,0.579311728151336,0.158681206821886,10.0771732571011,1.20381816731475,1.27022031140726,0.724512166544644,1.28705663670926
"YNL173C",79,0.187002813163312,0.195220657008851,0.111082945273774,0.412285085332686,0.270743651301755,0.656690384720764,9.90501162216597,16.0962469152596,84,0,5,1,0.216568736354784,0.170700869914498,0.0193489860881765,0.669672583112853,0.237122754489045,12.8398187366102,1.10384288613265,1.26723886112756,-0.0547488511596578,2.95008304130882
"YOR083W",74,0.130393865000497,0.173843223597246,0.0690061356095496,0.177233460020294,0.260401394452202,1.46925639448885,34.7480267728932,22.3806450689294,84,5,5,0.94047619047619,0.0447497475348866,0.135323092949205,0.0304619409678886,1.06888483977346,0.362848630610444,18.4529883642449,1.39321106513655,1.26453303447231,1.10341205929817,2.81913975776495
"YHL040C",77,0.158161372157291,0.198848265212147,0.0752008226752976,0.358989486838848,0.453112933866302,1.2621899818189,4.46075510178764,17.2495982083904,84,2,5,0.976190476190476,0.121178314429474,0.167589099925829,0.0247310949397966,0.782089284717715,0.160113798353096,18.8075430471222,1.6815987961,1.26396204302365,2.99849670696355,-0.926466433221194
"YLR194C",79,0.594064133901344,0.142087675466403,0.594643555401273,1.66252961605114,0.42630675203955,0.256420546090552,4.34654191955599,4.64008319085482,84,0,5,1,0.286193305234095,0.130278780332985,0.0093462486490117,0.240168376218242,0.0455732941611887,4.04963783453817,0.867392966254352,1.26349036676513,0.35661608780852,0.680712640392233
"YML065W",79,0.155716366015625,0.195799939950919,0.0710979246337708,0.42042941132058,0.364306431511582,0.866510338482947,65.729480743455,28.7503186472678,84,0,5,1,0.257676601501264,0.168605501461147,0.0216290525095254,0.753601212095984,0.192927686909863,24.8094487848734,2.06044934314075,1.25731066942464,0.585240657758545,1.91262642564522
"YDL037C",75,0.141503955508848,0.187471911047482,0.0728542407416003,0.204566266205453,0.193741735963397,0.947085458209494,81.0377896643981,19.1411976506866,84,4,5,0.952380952380952,0.0708026771405866,0.153431800124656,0.0270806149112655,0.885049592251979,0.293379967787187,16.8972685135006,1.30828084461342,1.25699180149213,0.211452289757272,1.7151738836695
"YOR317W",78,0.141657396709759,0.202135607220815,0.063893433513218,0.420275635138934,0.511251987880813,1.21646830112291,58.7209007780138,24.2356793716272,84,1,5,0.988095238095238,0.215624005489863,0.173404903718742,0.0230270307779331,0.810640935441127,0.23345364514404,23.6723963133544,2.34214336508121,1.24769466715635,1.73836379993722,0.240498966318928
"YNL166C",79,0.182855112500004,0.193527002376129,0.109418092263826,0.440157786136558,0.453689615643327,1.03074313333303,31.7570705299855,15.4212711517092,84,0,5,1,0.243653796900468,0.166817291587049,0.0214325295585353,0.703807784527963,0.226397763362389,13.0494603938404,1.2834969083024,1.24622297690675,1.44407499415864,1.84792868804476
"YKL172W",79,0.194503517136809,0.184201961274563,0.119012794073377,0.978585445763466,0.732332493978576,0.748358252362143,1.64568859446242,19.2591178186515,84,0,5,1,0.850300352374604,0.169910409479346,0.0116289515784828,0.647442054384921,0.231815172102734,17.5651898872037,1.01833266564474,1.22896304957197,0.435330427520502,1.66343277456916
"YLR437C",79,0.252302517361135,0.176999654629203,0.189502018308641,1.0232182885776,0.711266474601233,0.69512681950787,60.5542157113638,10.925593633156,84,0,5,1,0.696101436883715,0.159171226535362,0.0145469447330049,0.539908207861565,0.146012947901418,13.4202681724378,1.00739009056001,1.22557887041332,1.06304690013589,-2.4763739118131
"YML117W",79,0.145740584448141,0.193558072099234,0.0666394765353222,0.433210130075209,0.607855531021705,1.40314246787391,60.9057179428687,31.4800383107744,84,0,5,1,0.262213137706575,0.17133253489349,0.0182589588784961,0.795116560310833,0.236029650935486,26.9838675605444,2.97144169718572,1.21724011503855,2.57605730955076,1.51312770312417
"YBR138C",79,0.164519297781934,0.191793743592758,0.0982674955319813,0.207090722218336,0.13542120652228,0.653922131670898,76.9472347593373,13.6316518780929,84,0,5,1,0.0775234295035546,0.1523427389631,0.0327060743838527,0.835083437881562,0.267598221210959,12.7052325821451,1.15160949154472,1.2062286707553,-0.676989949301072,0.804456113595531
"YKR090W",79,0.171597441292096,0.186178490909787,0.0945567810292397,0.348919671111759,0.19000664077812,0.544556975457142,24.2190370732294,15.3023283836796,84,0,5,1,0.187799392072245,0.168663868967043,0.0147607904187168,0.756676630761883,0.218395456240123,13.7953793876425,1.41375334206352,1.18656396073043,-0.971264049887181,1.06592073114926
"YPL032C",79,0.215467226478527,0.180189380677004,0.142921671600621,0.776503155191608,0.436848966156548,0.562584920918643,39.8405484922349,13.3892878261166,84,0,5,1,0.495132042142181,0.160743720685738,0.0164336808981229,0.620564904412421,0.205935937349879,11.9001943795617,1.18683398214207,1.18328085544654,-0.281543786091457,1.2546771233052
"YDR001C",79,0.149918964024416,0.190758111111133,0.0700618838108366,0.389015784681906,0.353874924798124,0.909667264755036,86.0871647382082,17.522874135309,84,0,5,1,0.204511374579509,0.172257325993273,0.0156479879785955,0.736269935791002,0.154842455024849,18.1357795488936,1.88818264838016,1.18231079568608,1.11983066230903,-0.324600702220385
"YDR113C",79,0.223954668466437,0.177025900836868,0.167118017146574,0.420282447988847,0.60005522262468,1.42774276084116,32.8494108519974,7.53044469237899,84,0,5,1,0.154557923941461,0.154215852947539,0.0194271568853395,0.655470159678337,0.235981651774444,8.42994648261994,0.814387760378223,1.17413206800949,3.272595963948,-1.10451290405347
