"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","n_fit","sd_trim","n_outlier","n_early","n_late","shift_early","shift_late","peak_early","peak_late","early_strains","late_strains","cv_trim_amp","sd_trim_str","frac_explained","n_fit_struct","n_fit_amp","n_fit_peak","peak_excess","amp_excess","str_excess","peak_trim_excess","amp_trim_excess","str_trim_excess","peak_robustness","amp_robustness","str_robustness","frac_outlier_peak","peak_diff","amp_spread","expr_gated","amp_gated","amp_trim_excess_final","rank_peak","rank_str","rank_amp","n_phenotypes_available","variability","variability_strict","which_phenotype"
"YIL158W","AIM20",74,0.312488510768205,0.337020670244727,0.116284844180413,0.661668920280419,0.218388688466003,0.33005734706936,1.13878114869143,73.0656235696677,5.12219672385093,74,0,1,0.393485750078296,0.0807659959507014,4.07389635228872,0.00199600798403194,0.156789769271446,7.52026396437989,0.00199600798403194,2.74850317907876,4.07542643767624,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.304236442936804,TRUE,TRUE,"cycling, varies between strains",74,2.71,3,2,1,-23.6,13.9,49.5,87,"CCN,SACE_YCM","CNH",0.216431956802462,0.0894996386755767,0.139397310067535,74,74,74,1.86363136227762,2.10509492170972,1.43977478159734,0.985991219012647,1.38039591363744,1.10813514551602,0.529069878823902,0.655740460632679,0.769658671397627,0.0405405405405405,2.37369354477217,1.13878114869143,FALSE,FALSE,1.38039591363744,0.723684210526316,0.868421052631579,0.802631578947368,3,0.798245614035088,0.798245614035088,"structure amplitude timing"
"YNL058C","YNL058C",74,0.353728484266423,0.363178709089675,0.108057787253296,0.710070438711408,0.246301829757328,0.346869572833227,1.4279122219357,80.2450851920779,5.00267871166152,74,0,1,0.302536799248356,0.0897471233060635,1.86456749348654,0.0399201596806387,0.163206252616019,8.69779638605162,0.00199600798403194,2.46081762693039,6.18387320004767,0.00199600798403194,0.18707682673868,0.0100430717512344,0.0164498589028839,0.329544792637641,TRUE,TRUE,"cycling, varies between strains",74,2.93,2,2,0,-23.7,NA,56.5,NA,"SACE_YCE,AAP",NA,0.229169780721136,0.0875545514432001,0.100750778613298,74,74,74,2.03293354896106,2.12534487664096,1.20402507927511,1.19066117209786,1.40417280004775,0.97556944688482,0.58568622309684,0.660679975038686,0.81025674936287,0.027027027027027,2.54186108473113,1.4279122219357,FALSE,FALSE,1.40417280004775,0.907894736842105,0.618421052631579,0.815789473684211,3,0.780701754385965,0.780701754385965,"amplitude timing"
"YJL078C","PRY3",74,0.305121633614035,0.322805703685995,0.114991373634689,0.652344405209757,0.259904460302566,0.398416018021945,1.10595443894115,13.0285781763269,7.26686147481316,74,0,1,0.352145317882869,0.0889939222293032,2.77406076400593,0.00598802395209581,0.210599657479695,6.79833410121415,0.00199600798403194,2.2481428623464,11.990752138043,0.00199600798403194,0.0561230480216039,0.0100430717512344,0.0164498589028839,0.282019749964905,TRUE,TRUE,"cycling, varies between strains",74,3.01,4,4,0,-40,NA,61,NA,"APQ,BDL,AAP,CEG",NA,0.282652134503971,0.0847816769053753,0.145991194610335,74,74,74,3.23238420321238,1.89181702757688,1.29212614473155,1.33888288436369,1.34213007697424,0.952668168584877,0.414209079178489,0.709439685450604,0.73728727838937,0.0540540540540541,5.01871861246676,1.10595443894115,FALSE,FALSE,1.34213007697424,0.973684210526316,0.565789473684211,0.789473684210526,3,0.776315789473684,0.776315789473684,"amplitude timing"
"YLR190W","MMR1",74,0.412944291023139,0.434704080429693,0.108909216041802,1.01567788030525,0.250652064696638,0.246783029892615,1.63528143139704,74.6468587251667,5.38810343897125,74,0,1,0.44760413404322,0.0775714006691794,3.51946806310403,0.00399201596806387,0.114975078257018,8.32666726913267,0.00199600798403194,2.88414317987853,5.9333899771952,0.00199600798403194,0.0454329436365365,0.0100430717512344,0.0164498589028839,0.394376480168133,TRUE,TRUE,"cycling, varies between strains",74,2.97,5,5,0,-15.6,NA,59,NA,"AAP,BDL,CBN,SACE_YCE,APQ",NA,0.139731359049439,0.078372563948668,0.000900872292427857,74,74,74,1.86818167577872,2.14640453943376,1.40398671549415,1.02976857068694,1.21531866877342,1.01032807545793,0.551214362092325,0.566211376488253,0.719613700263777,0.0675675675675676,2.50396025909271,1.63528143139704,FALSE,FALSE,1.21531866877342,0.776315789473684,0.723684210526316,0.697368421052632,3,0.732456140350877,0.732456140350877,"structure amplitude timing"
"YNL300W","TOS6",74,0.717365573481775,0.735165916972346,0.117115568675524,2.75118838010821,0.368040345436317,0.133775043576566,2.5920771989028,29.013550939537,1.19094718168915,74,0,1,0.463012840588788,0.0638873917961413,6.60331335857298,0.00199600798403194,0.0648621460710963,8.13383869214718,0.00199600798403194,0.853003835223826,3.16508246239062,0.00598802395209581,0.029815369261477,0.0100430717512344,0.0336738288129623,0.71516414754472,TRUE,TRUE,"cycling, varies between strains",74,1,0,0,0,NA,NA,NA,NA,NA,NA,0.0757303956006448,0.0624181710972791,0.124570143599774,74,74,74,1.39618033648893,2.06245170225995,1.83315620473643,1.1723276715838,1.16755920344719,0.977002963220812,0.839667800029281,0.566102567234827,0.532962199673151,0,0.337943346465324,2.5920771989028,FALSE,FALSE,1.16755920344719,0.881578947368421,0.671052631578947,0.618421052631579,3,0.723684210526316,0.723684210526316,"structure amplitude timing"
"YNL327W","EGT2",74,0.46838191660623,0.485917437856285,0.128007863607187,0.739194710213133,0.252036253709836,0.340960575376907,1.27390503373899,9.35687942896638,1.94401372660183,74,0,1,0.196930786094582,0.0948467075831202,3.34987733704662,0.00199600798403194,0.182531576816078,7.13521562968073,0.00199600798403194,1.09040194320343,2.6171226804924,0.0219560878243513,0.029815369261477,0.0100430717512344,0.0801145800003047,0.46651751600226,TRUE,TRUE,"cycling, varies between strains",74,1.23,0,0,0,NA,NA,NA,NA,NA,NA,0.26744194942847,0.0855942951913391,0.127354931405094,74,74,74,1.78284139964995,1.86795392514724,1.34962896308241,1.12802440207182,1.46518182822662,0.902448776266983,0.632711581800434,0.784377927368383,0.668664352168233,0,0.853611783398399,1.27390503373899,FALSE,FALSE,1.46518182822662,0.815789473684211,0.473684210526316,0.868421052631579,3,0.719298245614035,0.719298245614035,"structure amplitude"
"YLR286C","CTS1",74,0.406068492156146,0.419995592930409,0.112985650538179,1.00280252502251,0.31685501034169,0.315969497917428,1.68084423739134,18.5570412565734,4.06906572457035,74,0,1,0.279235828374569,0.0921754576110049,2.25383038519146,0.0179640718562874,0.161442088075772,7.56578741808561,0.00199600798403194,1.77350487762006,8.24695640137156,0.00199600798403194,0.120941216159231,0.0100430717512344,0.0164498589028839,0.387188853353514,TRUE,TRUE,"cycling, varies between strains",74,2.34,2,1,1,-10.6,24.4,8,43,"SACE_YCK","BDL",0.228614457446145,0.0770910181365605,0.0796869287056577,74,74,74,2.2943639884604,1.95716929633076,1.22576717779907,1.3194212373073,1.41607718390539,0.836350804591574,0.575070583370113,0.723533312401846,0.682308043272369,0.027027027027027,2.29556084695028,1.68084423739134,FALSE,FALSE,1.41607718390539,0.947368421052632,0.302631578947368,0.842105263157895,3,0.697368421052632,0.697368421052632,"amplitude timing"
"YOR264W","DSE3",74,0.390552631011987,0.393660774072265,0.135295411586296,0.506733095345267,0.193306233028166,0.381475444970602,1.06552160668203,8.18161982362476,1.73837046045958,74,0,1,0.188412151581585,0.0986805521072883,3.74264541405878,0.00199600798403194,0.211784398442971,6.60587800769866,0.00199600798403194,1.20680567307071,1.16064848723846,0.0518962075848303,0.029815369261477,0.0100430717512344,0.14854124087155,0.395473070984864,TRUE,TRUE,"cycling, varies between strains",74,1.1,0,0,0,NA,NA,NA,NA,NA,NA,0.277008847693811,0.0994112055287287,0.190721089028677,74,74,74,1.44047256260928,1.80124432099433,1.37104433140179,0.911497206672106,1.30797570420847,1.00740422916003,0.63277651399414,0.72615118835541,0.734771448367416,0,0.531564787388871,1.06552160668203,FALSE,FALSE,1.30797570420847,0.592105263157895,0.710526315789474,0.776315789473684,3,0.692982456140351,0.692982456140351,"structure amplitude"
"YPL158C","AIM44",74,0.411690180710566,0.406245798015372,0.138358759272209,0.640197453159338,0.237420423012763,0.370854994566296,1.22913543741783,6.28469563765961,1.21333267593567,74,0,1,0.173441904165362,0.0964305584329746,4.2602037967348,0.00199600798403194,0.218676023979266,5.87567839743942,0.00199600798403194,1.05920494793124,0.317726183233462,0.109780439121756,0.029815369261477,0.0100430717512344,0.253502656522703,0.41852826469231,TRUE,TRUE,"cycling, varies between strains",74,0.9,0,0,0,NA,NA,NA,NA,NA,NA,0.264621632197306,0.107356369248796,0.0549825239245649,74,74,74,1.14551265862708,1.69591063445281,1.43480201214823,0.849693915948764,1.21010811968301,1.11330237005125,0.741758643651427,0.713544744103483,0.775927522142498,0,0.154127728004434,1.22913543741783,FALSE,FALSE,1.21010811968301,0.526315789473684,0.881578947368421,0.671052631578947,3,0.692982456140351,0.692982456140351,"structure amplitude"
"YGR086C","PIL1",74,0.314175744278692,0.302293556569914,0.125434644557798,0.799299751184182,0.283731399629756,0.354974963034082,1.40880754435892,12.4446593011315,4.8245893072777,74,0,1,0.921265267773254,0.0812684810188589,5.46769551563131,0.00199600798403194,0.20144883148729,5.64413459958015,0.00199600798403194,2.20351896532041,4.67862640335678,0.00598802395209581,0.029815369261477,0.0100430717512344,0.0336738288129623,0.279769240888844,TRUE,TRUE,"cycling, varies between strains",74,2.19,2,1,1,-42.4,20.6,58,33,"BDL","APQ",0.212475014511493,0.089680028296473,0.000117776484199528,74,74,74,2.1894929806407,1.76210981425563,1.54345993656126,0.993864829151381,1.05473441043464,1.10350319302341,0.453924647367698,0.598563382316891,0.714954218689957,0.027027027027027,2.62107034195729,1.40880754435892,FALSE,FALSE,1.05473441043464,0.736842105263158,0.855263157894737,0.447368421052632,3,0.679824561403509,0.679824561403509,"structure amplitude timing"
