"gene","strain","value","stat"
"YJL044C","BMA",0.0182057545454374,"r2_adj"
"YJL044C","BMB",0.0358517804755907,"r2_adj"
"YJL044C","BMC",0.125090077778393,"r2_adj"
"YJL044C","BNC",0.0618386895368173,"r2_adj"
"YJL044C","BNV",0.0433028541681421,"r2_adj"
"YJL044C","BQM",0.0188444137042874,"r2_adj"
"YJL044C","BRK",0.15167336395078,"r2_adj"
"YJL044C","BVG",-0.029125417615395,"r2_adj"
"YJL044C","CAE",0.0716166795290922,"r2_adj"
"YJL044C","CBN",0.375938332258729,"r2_adj"
"YJL044C","CCD",0.0520334251562971,"r2_adj"
"YJL044C","CCG",0.104904285812475,"r2_adj"
"YJL044C","CCN",-0.00408577051958381,"r2_adj"
"YJL044C","CCQ",0.0906283389228217,"r2_adj"
"YJL044C","CCR",0.0551756465580531,"r2_adj"
"YJL044C","CCS",0.0700883176577702,"r2_adj"
"YJL044C","CCV",0.0272291601332483,"r2_adj"
"YJL044C","CDE",0.0948049464796229,"r2_adj"
"YJL044C","CDH",0.0974229946655124,"r2_adj"
"YJL044C","CDL",0.0345819047923938,"r2_adj"
"YJL044C","CDT",0.0360936593080806,"r2_adj"
"YJL044C","CEG",0.0138479171071536,"r2_adj"
"YJL044C","CFF",0.0939217143526068,"r2_adj"
"YJL044C","CGL",0.103212449886471,"r2_adj"
"YJL044C","CGN",0.0667160348650239,"r2_adj"
"YJL044C","CGS",-0.000397012707963551,"r2_adj"
"YJL044C","CLB",0.0290254158365203,"r2_adj"
"YJL044C","CLI",0.0506217122206084,"r2_adj"
"YJL044C","CLN",0.189196709676541,"r2_adj"
"YJL044C","CLP",0.0587678009961004,"r2_adj"
"YJL044C","CMI",0.00688889691422578,"r2_adj"
"YJL044C","CNH",0.0815414882364454,"r2_adj"
"YJL044C","CPI",0.103425026801761,"r2_adj"
"YJL044C","CPK",0.0648361001143333,"r2_adj"
"YJL044C","CPN",0.0344692733170607,"r2_adj"
"YJL044C","CQD",0.103535086928431,"r2_adj"
"YJL044C","CQF",0.0978827166379607,"r2_adj"
"YJL044C","SACE_YCE",0.0248443237908693,"r2_adj"
"YJL044C","SACE_YCK",-0.0416579594233166,"r2_adj"
"YJL044C","SACE_YCM",0.0964107806424102,"r2_adj"
"YJL044C","SACE_YCR",0.0767111294584064,"r2_adj"
"YJL044C","SACE_YCU",0.0676202253296315,"r2_adj"
"YKR103W","AAP",NA,"r2_adj"
"YKR103W","AFE",NA,"r2_adj"
"YKR103W","AKH",-0.0150421649199894,"r2_adj"
"YKR103W","AKI",-0.0275542112764091,"r2_adj"
"YKR103W","AKM",-0.00621590326758059,"r2_adj"
"YKR103W","AMP",0.0680741815294262,"r2_adj"
"YKR103W","ANG",0.00139435348769834,"r2_adj"
"YKR103W","ANN",0.0121915115464665,"r2_adj"
"YKR103W","APQ",NA,"r2_adj"
"YKR103W","ATS",NA,"r2_adj"
