"condition","gene","r","cor_category"
"YPD","YDL008W",0.686222005842259,"moderate (0.4–0.7)"
"YPD","RPT2",0.583617332035054,"moderate (0.4–0.7)"
"YPD","PTC1",0.390944498539435,"low (<0.4)"
"YPD","YDL005C",0.0223471846995302,"low (<0.4)"
"YPD","YDL004W",0.735686465433301,"high (≥0.7)"
"YPD","MCD1",0.145931471270205,"low (<0.4)"
"YPD","NHP10",0.219157740993184,"low (<0.4)"
"YPD","YDL001W",0.111638550143841,"low (<0.4)"
"YPD","YDR001C",0.447322297955209,"moderate (0.4–0.7)"
"YPD","YRB1",0.42738558909445,"moderate (0.4–0.7)"
"YPD","RCR2",0.0430836665588937,"low (<0.4)"
"YPD","YDR003W-A",0.189781821533015,"low (<0.4)"
"YPD","YDR004W",-0.0344013246019467,"low (<0.4)"
"YPD","YDR005C",0.185759493670886,"low (<0.4)"
"YPD","YDR006C",0.0731986368062317,"low (<0.4)"
"YPD","YDR007W",0.283860759493671,"low (<0.4)"
"YPD","YDR009W",0.513548390901613,"moderate (0.4–0.7)"
"YPD","YDR011W",0.800754625121714,"high (≥0.7)"
"YPD","RPL4B",0.825267770204479,"high (≥0.7)"
"YPD","PSF1",0.0896299902629017,"low (<0.4)"
"YPD","RAD61",0.107819388250473,"low (<0.4)"
"YPD","YDR016C",0.376728334956183,"low (<0.4)"
"YPD","YDR017C",0.0611493497415763,"low (<0.4)"
"YPD","GCV1",0.500952535014515,"moderate (0.4–0.7)"
"YPD","DAS2",0.019751102493394,"low (<0.4)"
"YPD","YDR021W",0.116288127788296,"low (<0.4)"
"YPD","CIS1",0.27686090324223,"low (<0.4)"
"YPD","SES1",0.518889970788705,"moderate (0.4–0.7)"
"YPD","RPS11A",0.414337877312561,"moderate (0.4–0.7)"
"YPD","YDR026C",0.288663307371492,"low (<0.4)"
"YPD","VPS54",0.453809077520418,"moderate (0.4–0.7)"
"YPD","REG1",0.0769230769230769,"low (<0.4)"
"YPD","YDR030C",0.183147016398248,"low (<0.4)"
"YPD","YDR031W",0.438730174479712,"moderate (0.4–0.7)"
"YPD","YDR032C",0.492161635832522,"moderate (0.4–0.7)"
"YPD","YDR033W",0.91389970788705,"high (≥0.7)"
"YPD","YDR034C",0.279819863680623,"low (<0.4)"
"YPD","YDR034W-B",0.246358275363072,"low (<0.4)"
"YPD","YDR035W",0.529089581304771,"moderate (0.4–0.7)"
"YPD","EHD3",0.529981316838665,"moderate (0.4–0.7)"
"YPD","KRS1",0.872297955209348,"high (≥0.7)"
"YPD","YDR041W",0.57134858812074,"moderate (0.4–0.7)"
"YPD","YDR043C",0.212336061867846,"low (<0.4)"
"YPD","YDR044W",0.727239532619279,"high (≥0.7)"
"YPD","RPC11",0.530890944498539,"moderate (0.4–0.7)"
"YPD","BAP3",0.496932814021422,"moderate (0.4–0.7)"
"YPD","HEM12",0.658885102239533,"moderate (0.4–0.7)"
"YPD","YDR049W",0.0542126147340456,"low (<0.4)"
"YPD","YDR050C",0.731280428432327,"high (≥0.7)"
"YPD","YDR051C",0.0891187925998053,"low (<0.4)"
"YPD","DBF4",0.413047711781889,"moderate (0.4–0.7)"
"YPD","CDC34",-0.102144648147308,"low (<0.4)"
"YPD","PST1",0.375826917872943,"low (<0.4)"
"YPD","YDR056C",0.36475170399221,"low (<0.4)"
"YPD","YDR057W",0.243479325000812,"low (<0.4)"
"YPD","YDR058C",0.215334143390221,"low (<0.4)"
"YPD","YDR059C",0.459980525803311,"moderate (0.4–0.7)"
"YPD","MAK21",0.337536514118793,"low (<0.4)"
"YPD","YDR061W",0.138215192314896,"low (<0.4)"
"YPD","LCB2",0.416869522882181,"moderate (0.4–0.7)"
"YPD","AIM7",0.421299902629017,"moderate (0.4–0.7)"
"YPD","RPS13",0.724269717624148,"high (≥0.7)"
"YPD","YDR065W",0.437964823402556,"moderate (0.4–0.7)"
"YPD","YDR066C",0.34622976488236,"low (<0.4)"
"YPD","YDR067C",0.188539156315753,"low (<0.4)"
"YPD","YDR068W",0.00732721109562677,"low (<0.4)"
"YPD","DOA4",0.199195284802379,"low (<0.4)"
"YPD","YDR070C",0.142232636822152,"low (<0.4)"
